RouteCode,RouteStart,RouteEnd
5407VP2,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA),CRUZEIRO ((TERMINAL RODOVIARIO DE CRUZEIRO)
541,ARUJA (TERMINAL RODOVIARIO DE ARUJA),GUARULHOS (SHOPPING BONSUCESSO)
542,CARAPICUIBA (ALDEIA),SANTANA DE PARNAIBA (ALPHAVILLE 10)
543,COTIA (JARDIM SANTA ISABEL),SAO PAULO (METRO MORUMBI)
549,ARUJA (MIRANTE),SAO PAULO (SAO MIGUEL PAULISTA)
550,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),BARUERI (ALPHAVILLE 3 / BRADESCO)
5501,SAO SEBASTIAO (TERMINAL RODOVIARIO DE SAO SEBASTIAO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5503,SAO SEBASTIAO (TERMINAL RODOVIARIO DE SAO SEBASTIAO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5504,CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5505,SAO SEBASTIAO (BALSA),CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA)
5506,UBATUBA (TERMINAL RODOVIARIO NAIM ELIAS ABDALLA),CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA)
5506DV1,UBATUBA (TERMINAL RODOVIARIO NAIM ELIAS ABDALLA),CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA)
5508,UBATUBA (TERMINAL RODOVIARIO DE UBATUBA - LITORANEA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5509,NATIVIDADE DA SERRA (BAIRRO ALTO),CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA)
551,EMBU DAS ARTES (JARDIM MIMAS),SAO PAULO (METRO CAPAO REDONDO)
5510,UBATUBA (TERMINAL RODOVIARIO DE UBATUBA - SAO JOSE),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA)
5511,UBATUBA (TERMINAL RODOVIARIO DE UBATUBA - SAO JOSE),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
551VP1,EMBU DAS ARTES (JARDIM SANTA TEREZA),SAO PAULO (METRO CAPAO REDONDO)
552,GUARULHOS (PARQUE SANTOS DUMONT),SAO PAULO (METRO ARMENIA)
555,GUARULHOS (COCAIA),SAO PAULO (METRO ARMENIA)
557,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),OSASCO (VILA YARA)
558,EMBU-GUACU (CHACARA FLORIDA),SAO PAULO (METRO CAPAO REDONDO)
559,CARAPICUIBA (COHAB V),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE)
560,OSASCO (LARGO DE OSASCO),SAO PAULO (METRO ARMENIA)
563,EMBU-GUACU (VILA LOURO),SAO PAULO (METRO CAPAO REDONDO)
564,SANTANA DE PARNAIBA (CENTRO),SAO PAULO (MORRO DOCE)
565,SANTANA DE PARNAIBA (CIDADE DE SAO PEDRO,GLEBA C) - SAO PAULO (LAPA)
566,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO TIETE)
568,ARUJA (VILA PEDROSO),SAO PAULO (METRO ARMENIA)
572,OSASCO (JARDIM SANTA MARIA),SAO PAULO (METRO MORUMBI)
573,GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (METRO CARRAO)
574,GUARULHOS (JARDIM CUMBICA),SAO PAULO (METRO CARRAO)
578,GUARULHOS (VILA MOREIRA),SAO PAULO (METRO ARMENIA)
579,OSASCO (VILA YOLANDA),BARUERI (ALPHAVILLE / GREEN VALLEY)
580,GUARULHOS (CIDADE SOBERANA),SAO PAULO (METRO ARMENIA)
581,OSASCO (TERMINAL METROPOLITANO LUIZ BORTOLOSSO - KM 21),COTIA (KM 24 - RODOVIA RAPOSO TAVARES)
582,EMBU-GUACU (VILA DIRCE),SAO PAULO (CIPO DO MEIO)
584,GUARULHOS (PARQUE PRIMAVERA),SAO PAULO (METRO CARRAO)
585,GUARULHOS (COCAIA),SAO PAULO (METRO ARMENIA)
587,TABOAO DA SERRA (JARDIM MONTE ALEGRE),SAO PAULO (METRO CAMPO LIMPO)
588,GUARULHOS (VILA ANY),SAO PAULO (METRO ARMENIA)
589,POA (TERMINAL RODOVIARIO JARDIM SAO JOSE),SAO PAULO (PENHA)
591,GUARULHOS (JARDIM PARAISO),SAO PAULO (METRO PENHA)
591DV1,GUARULHOS (JARDIM PARAISO),SAO PAULO (METRO PENHA)
596,GUARULHOS (VILA ANY),SAO PAULO (ESTACAO CPTM SAO MIGUEL PAULISTA)
597,GUARULHOS (VILA ANY),SAO PAULO (METRO BRAS)
598,ARUJA (MIRANTE),GUARULHOS (JARDIM SANTA MENA)
600,INDAIATUBA (TERMINAL RODOVIARIO VEREADOR MAURILIO GONCALVES PINTO),CAMPINAS (TERMINAL METROPOLITANO MAGALHAES TEIXEIRA)
601,INDAIATUBA (TERMINAL RODOVIARIO VEREADOR MAURILIO GONCALVES PINTO),CAMPINAS (TERMINAL METROPOLITANO MAGALHAES TEIXEIRA)
604,PAULINIA (PAULINIA RODOVIARIA SHOPPING),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
604DV1,PAULINIA (PAULINIA RODOVIARIA SHOPPING),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
604EX1,PAULINIA (PAULINIA RODOVIARIA SHOPPING),CAMPINAS (SHOPPING PARQUE DOM PEDRO I)
605,PAULINIA (PAULINIA RODOVIARIA SHOPPING),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
606,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
606DV1,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
606EX1,ARTUR NOGUEIRA (CORACAO CRIANCA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
607,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),CAMPINAS (SHOPPING PARQUE DOM PEDRO I)
608,COSMOPOLIS (VILA FONTANA),ENGENHEIRO COELHO (TERMINAL RODOVIARIO DE ENGENHEIRO COELHO)
609,PAULINIA (PAULINIA RODOVIARIA SHOPPING),COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS)
6101,BOITUVA (CENTRO),SOROCABA (CENTRO)
6104,CAPELA DO ALTO (JARDIM NOVA CAPELA),IPERO (CENTRO)
6105,SARAPUI (CENTRO),SOROCABA (CENTRO)
6105EX1,SARAPUI (CENTRO),SOROCABA (CENTRO)
6105EX2,SARAPUI (CENTRO),SOROCABA (UNISO - UNIP - FACENS)
6106,TIETE (CENTRO),CERQUILHO (JARDIM NOVA CERQUILHO)
6107,TIETE (CENTRO),CERQUILHO (JARDIM NOVA CERQUILHO)
6108,TATUI (CENTRO),SOROCABA (CENTRO)
6108EX1,TATUI (CENTRO),SOROCABA (FACENS)
6108EX2,TATUI (CENTRO),SOROCABA (UNIP)
6108EX3,TATUI (CENTRO),SOROCABA (UNIP)
6108EX4,CAPELA DO ALTO (CENTRO),TATUI (JARDIM AEROPORTO)
6108VP2,TATUI (CENTRO),ARACOIABA DA SERRA (CENTRO)
6109,CESARIO LANGE (HARAS DO SUL),TIETE (CENTRO)
6110,TATUI (CENTRO),SOROCABA (CENTRO)
6111,TATUI (CENTRO),SOROCABA (CENTRO)
6113,ITAPETININGA (TERMINAL RODOVIARIO DE ITAPETININGA),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA)
6114,ITAPETININGA (TERMINAL RODOVIARIO DE ITAPETININGA),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA)
6115,ITAPETININGA (TERMINAL RODOVIARIO DE ITAPETININGA),TATUI (TERMINAL RODOVIARIO DE TATUI)
6116,SARAPUI (CENTRO),ITAPETININGA (CENTRO)
612,JAGUARIUNA (JOAO NASSIF),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
612DV1,JAGUARIUNA (JOAO NASSIF),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
614,ITATIBA (TERMINAL RODOVIARIO ELIAS BAPTISTA ALVES),CAMPINAS (TERMINAL MULTIMODAL RAMOS AZEVEDO)
615,ITATIBA (TERMINAL RODOVIARIO ELIAS BAPTISTA ALVES),CAMPINAS (TERMINAL MULTIMODAL RAMOS DE AZEVEDO)
616,PEDREIRA (JARDIM ANDRADE),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
617,JAGUARIUNA (CENTRO),HOLAMBRA (CENTRO)
617DV1,JAGUARIUNA (CENTRO),HOLAMBRA (CENTRO)
617PR1,JAGUARIUNA (VILA SAO JOSE),HOLAMBRA (CENTRO)
618,SANTO ANTONIO DE POSSE (JARDIM SAO JUDAS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
619,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (CIDADE NOVA)
619EX1,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (CIDADE NOVA)
620,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (JARDIM MOLLON)
6201,PORTO FELIZ (CENTRO),SOROCABA (CENTRO)
6206,SALTO (CENTRO),ITU (CENTRO)
6207,SALTO (CENTRO),ITU (CENTRO)
6207VP1,SALTO (AVENIDA DOS TRABALHADORES),ITU (CENTRO)
6208,SALTO (CENTRO),SOROCABA (CENTRO)
6209,ITU (CENTRO),SOROCABA (CENTRO)
620EX1,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (JARDIM MOLLON)
621,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (CONJ. HAB. ROBERTO ROMANO)
6211,IBIUNA (CENTRO),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA)
6212,IBIUNA (CENTRO),PIEDADE (CENTRO)
6213,BOITUVA (CENTRO),TATUI (CENTRO)
6213EX1,PORTO FELIZ (CENTRO),BOITUVA (CENTRO)
6213EX2,TATUI (CENTRO),BOITUVA (FACULDADE IFSP)
6214,MAIRINQUE (JARDIM CRUZEIRO),SAO ROQUE (TERMINAL INTERMUNICIPAL ALCIDES DE SOUZA)
6215,MAIRINQUE (JARDIM CRUZEIRO),SAO ROQUE (JARDIM VILLACA)
6216,MAIRINQUE (JARDIM CRUZEIRO),SAO ROQUE (CATARINA FASHION OUTLET)
6218,SAO ROQUE (TERMINAL INTERMUNICIPAL ALCIDES DE SOUZA),IBIUNA (CENTRO)
6219,SAO ROQUE (TERMINAL INTERMUNICIPAL ALCIDES DE SOUZA),ALUMINIO (BAIRRO PEDAGIO)
622,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (RODOTERMINAL DE STA BARBARA D OESTE)
6220,ALUMINIO (BAIRRO PEDAGIO),SAO ROQUE (CATARINA FASHION OUTLET)
6220EX1,SAO ROQUE (CENTRO),SAO ROQUE (CATARINA FASHION OUTLET)
6222,PORTO FELIZ (CENTRO),ITU (CENTRO)
6222BI1,PORTO FELIZ (JARDIM VANTE),ITU (CENTRO)
6222BI2,PORTO FELIZ (VILA POPULAR),ITU (CENTRO)
6223,IBIUNA (CENTRO),PIEDADE (CENTRO)
6224,MAIRINQUE (CENTRO),SOROCABA (CENTRO)
6224EX1,SAO ROQUE (CENTRO),SOROCABA (CENTRO)
6224VP1,ALUMINIO (CENTRO),SOROCABA (CENTRO)
6225,ITU (TERMINAL CIDADE NOVA - PIRAPITINGUI),SAO ROQUE (CATARINA FASHION OUTLET)
6225EX1,ARACARIGUAMA (CENTRO),ITU (TERMINAL CIDADE NOVA - PIRAPITINGUI)
6226,ITU (TERMINAL CIDADE NOVA - PIRAPITINGUI),MAIRINQUE (BAIRRO SAO JOSE)
622EX1,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (RODOTERMINAL DE STA BARBARA D OESTE)
623,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (CIDADE NOVA)
624,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (JARDIM EUROPA)
624DV1,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (JARDIM EUROPA)
625,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (JARDIM EUROPA)
626,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (JARDIM EUROPA)
627,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (RODOTERMINAL DE STA BARBARA D OESTE)
628,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (RODOTERMINAL DE STA BARBARA D OESTE)
629,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (SAO JOAQUIM)
629EX1,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (SAO JOAQUIM)
630,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (SAO JOAQUIM)
6301,PILAR DO SUL (BAIRRO CAMPO GRANDE),PIEDADE (CENTRO)
6302,TAPIRAI (CENTRO),PIEDADE (CENTRO)
6303,PIEDADE (CENTRO),SOROCABA (CENTRO)
6305,VOTORANTIM (CENTRO),SOROCABA (CENTRO)
6306,PIEDADE (CENTRO),SOROCABA (CENTRO)
6307,VOTORANTIM (CENTRO),SOROCABA (CENTRO)
6307DV1,VOTORANTIM (CENTRO),SOROCABA (CENTRO)
6308,VOTORANTIM (CENTRO),SOROCABA (CENTRO)
6308DV1,VOTORANTIM (CENTRO),SOROCABA (CENTRO)
6309,VOTORANTIM (JARDIM FORTALEZA),SOROCABA (CENTRO)
631,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (VILA RICA)
6310,VOTORANTIM (CENTRO),SOROCABA (CENTRO)
6311,VOTORANTIM (VILA NOVA),SOROCABA (CENTRO)
6312,VOTORANTIM (CENTRO),SOROCABA (CENTRO)
6314,SALTO DE PIRAPORA (BAIRRO CAMPO LARGO),SOROCABA (CENTRO)
6315,SALTO DE PIRAPORA (CAMPO LARGO),SOROCABA (CENTRO)
6315VP1,SALTO DE PIRAPORA (JARDIM PRIMAVERA),SOROCABA (CENTRO)
6316,SALTO DE PIRAPORA (CAMPO LARGO),SOROCABA (CENTRO)
6316VP1,SALTO DE PIRAPORA (JARDIM PRIMAVERA),SOROCABA (CENTRO)
6317,SALTO DE PIRAPORA (CAMPO LARGO),SOROCABA (CENTRO)
632,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (VILA RICA)
6320,ARACOIABA DA SERRA (MARIA PAULA ESPOSITO),SOROCABA (CENTRO)
6320BI1,ARACOIABA DA SERRA (BAIRRO FARIAS),SOROCABA (CENTRO)
6320DV1,ARACOIABA DA SERRA (MARIA PAULA ESPOSITO),SOROCABA (CENTRO)
6321,ARACOIABA DA SERRA (MARIA PAULA ESPOSITO),SOROCABA (CENTRO)
6322,IPERO (JARDIM VITORINO),BOITUVA (CENTRO)
6323,IPERO (CENTRO),TATUI (CENTRO)
6324,IPERO (CENTRO),SOROCABA (BAIRRO BOM JESUS)
6325,IPERO (CENTRO),SOROCABA (CENTRO)
6326,IPERO (PRESIDIO ODON RAMOS MARANHAO),SOROCABA (CENTRO)
6327,IPERO (VILA DO DEPOSITO),BOITUVA (CENTRO)
6328,IPERO (PRESIDIO ODON RAMOS MARANHAO),BOITUVA (CENTRO)
6329,PIEDADE (CENTRO),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA)
633,SANTA BARBARA D OESTE (RODOTERMINAL DE SANTA BARBARA D OESTE),CAMPINAS (TERMINAL MULTIMODAL RAMOS DE AZEVEDO)
6330,IPERO (GEORGE OETTERER),SOROCABA (CENTRO)
6330PR1,IPERO (G. OETTERER - INDUSTRIA DE ARTEFATOS),SOROCABA (CENTRO)
6333,SAO MIGUEL ARCANJO (TERMINAL RODOVIARIO BENTO FRANCA),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA)
6334,SAO MIGUEL ARCANJO (TERMINAL RODOVIARIO BENTO FRANCA),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA)
6335,ARACOIABA DA SERRA (CERCADO),SOROCABA (CENTRO)
6338,PIEDADE (CENTRO),SOROCABA (CENTRO)
6339,SAO MIGUEL ARCANJO (CENTRO),ITAPETININGA (CENTRO)
633VP1,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),CAMPINAS (TERMINAL MULTIMODAL RAMOS DE AZEVEDO)
634,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),NOVA ODESSA (JARDIM SANTA ROSA)
6340,SAO MIGUEL ARCANJO (CENTRO),ITAPETININGA (CENTRO)
635,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),CAMPINAS (TERMINAL MULTIMODAL RAMOS DE AZEVEDO)
636,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
636EX1,NOVA ODESSA (ESTACAO RODOVIARIA DONA CATHARINA FERNANDEZ WELSH),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
636PR1,SUMARE (JD. JOAO PAULO II),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
636PR2,SUMARE (JARDIM MACARENKO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
637,SUMARE (JARDIM LUCELIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
638,SUMARE (JARDIM JOAO PAULO II),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
639,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SUMARE (TERMINAL RODOVIARIO DE SUMARE)
640,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SUMARE (JARDIM RESIDENCIAL BORDON)
640EX1,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SUMARE (JARDIM RESIDENCIAL BORDON)
642,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),CAMPINAS (UNICAMP)
644,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SUMARE (TERMINAL RODOVIARIO DE SUMARE)
647,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),NOVA ODESSA (JARDIM DAS PALMEIRAS)
649,PAULINIA (CONJUNTO HABITACIONAL TEREZA Z. VEDOVELO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
649EX1,SUMARE (JARDIM NOVA TERRA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
651,SUMARE (RESIDENCIAL REAL PARQUE),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
652,SUMARE (JARDIM JOAO PAULO II),CAMPINAS (UNICAMP)
652EX1,SUMARE (JARDIM DALL ORTO),CAMPINAS (UNICAMP)
652EX2,SUMARE (JARDIM DALL ORTO),CAMPINAS (CAMPINAS SHOPPING IGUATEMI)
653,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (UNICAMP)
654,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (SHOPPING IGUATEMI)
654BI1,SUMARE (PARQUE RESIDENCIAL IPIRANGA),CAMPINAS (SHOPPING IGUATEMI)
655,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (SHOPPING IGUATEMI)
655DV1,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (SHOPPING IGUATEMI)
655PR1,SUMARE (JARDIM JOAO PAULO II),CAMPINAS (SHOPPING IGUATEMI)
657,SUMARE (PARQUE IDEAL),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
658,SUMARE (ESTACAO DE TRANSFERENCIA KM 110 - JARDIM MARIA ANTONIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
659,SUMARE (PARQUE RESIDENCIAL IPIRANGA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
660,SUMARE (JARDIM SAO GERONIMO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
661,PAULINIA (CONJUNTO HABITACIONAL TEREZA Z. VEDOVELO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
662,SUMARE (JARDIM SAO GERONIMO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
663,SUMARE (PARQUE RESIDENCIAL SALERNO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
664,PAULINIA (CONJUNTO HABITACIONAL TEREZA Z. VEDOVELO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
666,SUMARE (TERMINAL RODOVIARIO DE SUMARE),PAULINIA (CENTRO)
668,SUMARE (TERMINAL RODOVIARIO DE SUMARE),HORTOLANDIA (ROSOLEM)
673,SANTO ANTONIO DE POSSE (CENTRO),HOLAMBRA (CENTRO)
673EX1,SANTO ANTONIO DE POSSE (CENTRO),HOLAMBRA (CENTRO)
673EX2,SANTO ANTONIO DE POSSE (CENTRO),HOLAMBRA (CENTRO)
674,VINHEDO (CAPELA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
674VP1,VINHEDO (CAPELA),VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES)
674VP2,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
675,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),CAMPINAS (CENTRO)
676,VALINHOS (JARDIM DO LAGO),CAMPINAS (CENTRO)
677,VALINHOS (PARQUE DAS COLINAS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
677DV1,VALINHOS (PARQUE DAS COLINAS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
678,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),CAMPINAS (ESCOLA DE CADETES)
679,VALINHOS (PARQUE DAS FIGUEIRAS),CAMPINAS (TREVO DA BOSCH)
680,VALINHOS (PARQUE DAS FIGUEIRAS),CAMPINAS (TREVO DA BOSCH)
680VP1,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),CAMPINAS (TREVO DA BOSCH)
683,VALINHOS (JARDIM SAO LUIZ),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
685,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),VINHEDO (TERMINAL RODOVIARIO DE VINHEDO)
686,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (JARDIM SAO DOMINGOS)
686BI1,VINHEDO (CAPELA),CAMPINAS (JARDIM SAO DOMINGOS)
687,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (AEROPORTO INTERNACIONAL DE VIRACOPOS)
687EX1,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (JARDIM CAMPO BELO)
687EX2,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (JARDIM CAMPO BELO)
688,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
688BI1,VINHEDO (CAPELA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
689,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),VINHEDO (TERMINAL RODOVIARIO DE VINHEDO)
693,ARTUR NOGUEIRA (CORACAO CRIANCA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
694,HORTOLANDIA (BOA ESPERANCA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
825,SAO PAULO (SAO MIGUEL PAULISTA),GUARULHOS (CENTRO)
695,HORTOLANDIA (JARDIM SANTIAGO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
696,HORTOLANDIA (PARQUE DO HORTO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
697,HORTOLANDIA (TERMINAL METROPOLITANO HORTOLANDIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
698,HORTOLANDIA (TERMINAL METROPOLITANO HORTOLANDIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
699,HORTOLANDIA (NOVA HORTOLANDIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
699BI1,HORTOLANDIA (PARQUE DOS PINHEIROS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
700,HORTOLANDIA (JARDIM AMANDA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
701,HORTOLANDIA (JARDIM AMANDA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
702,HORTOLANDIA (PARQUE ORESTE ONGARO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
703,HORTOLANDIA (JARDIM NOVO CAMBUI),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
703BI1,HORTOLANDIA (JARDIM SANTA FE),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
704,HORTOLANDIA (SUMAREZINHO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
705,HORTOLANDIA (JARDIM ROSOLEM),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
706,HORTOLANDIA (CHACARA ASSAY),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
707,HORTOLANDIA (JARDIM NOVA AMERICA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
