RouteCode,RouteStart,RouteEnd,llm_generated
379,FERRAZ DE VASCONCELOS (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra chegar de ferraz de vasconcelos (centro) no terminal rodoviario tiete?
380,DIADEMA (TERMINAL METROPOLITANO DE DIADEMA),SAO PAULO (JARDIM GUACURI),"oi, como eu faco pra chegar no terminal metropolitano de diadema daqui da saao paulo?"
381,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (BARUEL),"oi, tudo bem? preciso saber como chego de ribeirao pires ate suzano?"
381BI1,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (VILA FATIMA),como eu faco pra chegar na vila fatima saindo do terminal rodoviario de riberiao pires?
382,MAUA (BAIRRO FEITAL),SAO CAETANO DO SUL ( BAIRRO SANTO ANTONIO),como eu faco pra chegar em sao caiato do sul saindo de mawa (feital)?
382EX1,MAUA (JARDIM ITAPEVA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),como eu faco pra chegar em sao caetano do sul saindo do maua (jardim itapeva)?
384,ITAQUAQUECETUBA (JARDIM CALIFORNIA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra ir de itaquaquecetuba (jardim california) ate sao paulo?"
386,SANTANA DE PARNAIBA (VARZEA DE SOUZA),SAO PAULO (PINHEIROS),como eu faco pra chegar em sao paulo saindo de santana de nossaza?
390,OSASCO (JARDIM VELOSO),BARUERI (ALPHAVILLE 3 / BRADESCO),como eu faco pra ir de osasco (jardim veloso) para barueri?
390BI1,OSASCO (JARDIM SANTO ANTONIO),BARUERI (ALPHAVILLE 3 / BRADESCO),como eu faco pra chegar em barueri saindo de osasco?
392,CARAPICUIBA (JARDIM ANA ESTELA),BARUERI (ALPHAVILLE),como eu faco pra chegar em baruerei saindo de carapicuiba?
394,BIRITIBA MIRIM (JARDIM DOS EUCALIPTOS),MOGI DAS CRUZES (CENTRO),como eu faco pra ir do biritiba mirim ate mogi das cruzes?
396,COTIA (TERMINAL METROPOLITANO COTIA),SAO PAULO (METRO BUTANTA),como eu faco pra chegar do metro cotia em sao paulo?
399,BARUERI (PARQUE IMPERIAL),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA),"oi, como eu faco pra ir do parque imperial pra sao paulo?"
402,RIO GRANDE DA SERRA (CENTRO),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),"oi, to meio perdido aqui. como eu faco pra ir de rio grande da serra (centro) ate riberiao pires, consegue me ajudar?"
403,MAUA (VILA NOVA MAUA),SAO CAETANO DO SUL (SANTO ANTONIO),"oi, como eu faco pra chegar em sao caetano saindo de vila nova mua?"
404,OSASCO (NOVO OSASCO),SAO PAULO (METRO VILA SONIA),como eu faco pra chegar do osasco no metro vila sonia?
405,SUZANO (CENTRO),ITAQUAQUECETUBA (RANCHO GRANDE),como eu faco pra ir do centro para o itaquaquebeu?
407,CARAPICUIBA (VILA DIRCE),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),"oi, como eu faco pra chegar em santana de paranaiba partindo da vila dirce?"
408,GUARULHOS (CIDADE SOBERANA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
409,SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),"oi, como eu faco pra chegar no terminal metropolitano santo andre-oeste saindo do jardim las palmas?"
409BI1,SAO BERNARDO DO CAMPO (PARQUE ALVARENGA),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),como eu faco pra chegar no terminal metropolitano santo andre do parque alvarena?
411,SANTA ISABEL (MONTE SERRAT),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),"oi, como eu faco pra chegar no terminal rodoviario geraldo scavone do mogi das cruzes, comecando na santa isabel?"
412,EMBU DAS ARTES (JARDIM SAO MARCOS),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra ir de embu das artes (jardim sa marcos) ate o terminal rodoviario tiete?
415,SANTA ISABEL (MONTE SERRAT),GUARAREMA (CHACARA GUANABARA),"oi, como eu faco pra chegar em guararema partindo de santa isabel?"
416,POA (JARDIM MEDINA),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),"oi, como eu faco pra chegar no jardim medina daqui pra mogi das cruzes?"
417,SANTANA DE PARNAIBA (PARQUE SANTANA),BARUERI (CENTRO),como eu faco pra chegar no barreu daqui da santana de parnaiba?
418,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),BARUERI (CENTRO),"oi, como eu faco pra chegar em barueri partindo de pirapora do bom jesus?"
419,ITAPEVI (COHAB/JARDIM PAULISTA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),"oi, como eu faco pra chegar na residencial burle marx saindo do itapevi?"
420,OSASCO (VILA YARA),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra pegar um onibus saindo da osasco e indo para o terminal metropolitano de cotia?
420DV1,OSASCO (VILA YARA),COTIA (TERMINAL METROPOLITANO DE COTIA),"oi, como eu faco pra chegar no terminal metropolitano de cotia saindo da vila yara?"
421,ITAPEVI (CIDADE DA SAUDE),VARGEM GRANDE PAULISTA (CENTRO),"oi, tudo bem? to em itapevi e preciso saber como chego de la em varrega grande paulista."
422,ITAPEVI (VILA NOVA ESPERANCA),SAO PAULO (METRO MORUMBI),"oi, como eu faco pra ir de itapevi ate o metro morumbi?"
424,RIO GRANDE DA SERRA (CENTRO),SANTO ANDRE (PARANAPIACABA),como eu faco pra chegar em santo andre saindo de rio grande da serra?
426,FRANCO DA ROCHA (CENTRO),CAJAMAR (POLVILHO),"oi, como eu faco pra chegar de franco da rocha ate camaram?"
427,GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (PARAISO),"oi, como eu faco pra chegar do parque continental ii em sao paulo?"
428,BARUERI (JARDIM DO LIBANO),OSASCO (VILA YARA),"oi, como eu faco pra sair do jardim do libano e chegar na vila yara?"
429,CAIEIRAS (LARANJEIRAS),SAO PAULO (JARDIM DO RUSSO),"oi, como eu faco pra chegar em sao paulo saindo de caieiras, laranjeiras?"
430,FRANCO DA ROCHA (CENTRO),FRANCISCO MORATO (CENTRO),como eu faco pra ir do franco da rocha ate francisco moro?
431,SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS),SAO PAULO (TERMINAL SACOMA),como eu faco pra ir de jardim las palmas pra sao paulo?
432,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO BERNARDO DO CAMPO (BAIRRO DO TABOAO),"oi, como eu faco pra sair do terminal metropolitano santo andre-leste e ir para sao bernardo do campo?"
436,FRANCISCO MORATO (TERMINAL RAUL SHIGUEMITSU SUNAO),FRANCO DA ROCHA (CENTRO),"oi, como eu faco pra ir de francisco morato ate franco da rocha?"
438,FRANCO DA ROCHA (PARQUE VITORIA),SAO PAULO (LAPA),"oi, como eu faco pra ir do parque vitoriana ate sao paulo?"
439,BARUERI (ALPHAVILLE),SAO PAULO (PIRITUBA),"oi, como eu faco pra chegar em saopaulo saindo do barphille?"
439VP1,BARUERI (ALPHAVILLE),OSASCO (JARDIM HELENA MARIA),"oi, como eu faco pra chegar de barueri (alphaville) em osasco?"
442,CAIEIRAS (JARDIM NOVA ERA),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA),"oi, como eu faco pra sair de caieiras (jardim nova era) e chegar no terminal rodoviario barra funda em sao paulo?"
443,GUARULHOS (COCAIA),SAO PAULO (METRO PENHA),"oi, tudo bem? to em guarulhos e queria saber como chegar em sao paulo, passando por saopaulo."
446,SAO BERNARDO DO CAMPO (JARDIM BORBOREMA),SAO PAULO (SAUDE),como eu faco pra ir do jardim borborema em sao bernardo do campo ate sao paulo?
448,CARAPICUIBA (ALDEIA),SANTANA DE PARNAIBA (RESIDENCIAL TAMBORE III),"como eu faco pra chegar na residencial tamboreiro, daqui da carapicuiba?"
449,CARAPICUIBA (ALDEIA),SANTANA DE PARNAIBA (ALPHAVILLE 10),"oi, como eu faco pra chegar em santana de parnaiba saindo da aldea carapicuva?"
450,CARAPICUIBA (JARDIM NOVO HORIZONTE),BARUERI (ALPHAVILLE 2),como eu faco pra chegar em barueri a partir do jardim novo horizonte?
451,ITAPECERICA DA SERRA (JARDIM BRANCA FLOR),SAO PAULO (METRO CAPAO REDONDO),"oi, como eu faco pra chegar em sao paulo saindo do jardim brasilia da serra?"
452,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM SAO ROBERTO),como eu faco pra chegar no jardim sao joao do sul do terminal metropolitano santo andre-leste?
454,JANDIRA (CONDOMINIO RESERVA DE SANTA MARIA),BARUERI (TERMINAL RODOFERROVIARIO GUALBERTO TOLAINE),"oi, como eu faco pra sair de jandira e chegar em barueri?"
455,BARUERI (ALPHAVILLE),CARAPICUIBA (ALDEIA),"oi, como eu faco pra ir de barueri (alphaville) em direcao a carapicuiba?"
456,BARUERI CENTRO),OSASCO (KM 19.5 - RAPOSO TAVARES),"oi, como eu faco pra chegar no osasco saindo de barueri centro, na raposo tiba?"
459,EMBU DAS ARTES (TERMINAL CASA BRANCA),SAO PAULO (ITAIM BIBI),como eu faco pra chegar no terminal casa branca saindo de embuas artes?
460,FERRAZ DE VASCONCELOS (VILA SAO PAULO),SAO PAULO ( ESTACAO CPTM GUAIANAZES),como eu faco pra chegar em sao paulo saindo de ferraz de vasconcelos?
461,ARUJA (TERMINAL RODOVIARIO DE ARUJA),GUARULHOS (NOVA BONSUCESSO),"oi, como eu faco pra chegar em guarulhos partindo do terminal rodoaviario de arju?"
462,SANTANA DE PARNAIBA (CIDADE SAO PEDRO),OSASCO (CENTRO),como eu faco pra sair de santana de parnaiba e chegar em osasco?
462BI1,SANTANA DE PARNAIBA (VARZEA DE SOUZA),OSASCO (CENTRO),como eu faco pra chegar em osasco saindo de santana de paraiba?
463,ITAPEVI (JARDIM VITAPOLIS),SANTANA DE PARNAIBA (RESIDENCIAL TAMBORE III),como eu faco pra pegar um onibus saindo do jardim vitapolis e ir ate a santana de parnaiba?
466,OSASCO (CONJUNTO DOS METALURGICOS),BARUERI (ALPHAVILLE/GREEN VALLEY),como eu faco pra ir do conjunto dos metalurgicos pro barreu?
466EX1,OSASCO (TERMINAL SANTA MARIA),BARUERI (ALPHAVILLE/GREEN VALLEY),"como eu faco pra ir do terminal santa maria ate o novo bairro, novo?"
466EX2,OSASCO (SANTA MARIA),BARUERI (ALPHAVILLE / GREEN VALLEY),"oi, como eu faco pra chegar do osasco (santa maria) em barueri?"
467,SANTANA DE PARNAIBA (CENTRO),SAO PAULO (LAPA),como eu faco pra ir de santana de parnaiba ate sao paulo?
468,SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),COTIA (TERMINAL METROPOLITANO COTIA),como eu faco pra chegar no terminal rodoaviario alphaville do toto e depois chegar em cotia?
468BI1,BARUERI (SHOPPING TAMBORE),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra ir do shopping barulho ate o terminal metropolitano de cotia?
469,FRANCO DA ROCHA (JARDIM LAGO AZUL),CAIEIRAS (JARDIM NOVA ERA),"oi, como eu faco pra chegar de franco da rocha ate cairias?"
470,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (AEROPORTO DE CONGONHAS),"oi, como eu faco pra chegar do terminal metropolitano santa andre ate o aeroporto de congonhas?"
472,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA),"oi, como eu faco pra sair do guarulhos (aeroporto internacional de sao paulo) e chegar em sao paulo no terminal rodoviario barra funda?"
473,ITAQUAQUECETUBA (PARQUE PIRATININGA II),SAO PAULO (METRO ARMENIA),como eu faco pra ir do parque piratinha ii em itaquaquecetuba ate o metro armenia?
478,GUARULHOS (CONJUNTO PAES DE BARROS),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em saopaulo saindo de guarulhos?"
478BI1,GUARULHOS (JARDIM DAS NACOES),SAO PAULO (METRO ARMENIA),como eu faco pra chegar em sao paulo saindo de guarulhos?
479,CARAPICUIBA (PARQUE SANTA TEREZA),OSASCO (CENTRO),"oi, como eu faco pra chegar no parque santa teresa daqui de carapicuiba?"
480,ARUJA (PARQUE RODRIGO BARRETO),POA (ESTACAO CPTM POA),"oi, como eu faco pra chegar do parque rodolfo bourlier ate estacao central de trem do parana?"
481,POA (TERMINAL RODOVIARIO JARDIM SAO JOSE),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),"oi, como eu faco pra sair do terminal rodoviario jardim sao jose e ir pra mogi das cruzes?"
484,EMBU DAS ARTES (JARDIM BATISTA),SAO PAULO (METRO CAPAO REDONDO),"como eu faco pra chegar no sao paulo saindo de embuas das artes, jardim batista?"
487,MAUA (TERMINAL METROPOLITANO SONIA MARIA),SANTO ANDRE (SHOPPING ABC),como eu faco pra ir do terminal metropolitano sonia maria ate o shopping abc?
488,CARAPICUIBA (VILA MENCK),SAO PAULO (METRO BUTANTA),"oi, como eu faco pra chegar em sao paulo saindo da vila menck?"
489,ITAPEVI (CIDADE DA SAUDE),EMBU DAS ARTES (CENTRO),"oi, como eu faco pra chegar em embuadas artes saindo do itapevi?"
490,TABOAO DA SERRA (JARDIM MONTE ALEGRE),OSASCO (CENTRO),como eu faco pra ir do jardim monte alegre ate os arredores de osasco?
492,CARAPICUIBA (PARQUE JANDAIA),SAO PAULO (METRO VILA SONIA),"oi, como eu faco pra chegar do parque jandaia em sao paulo?"
493,SANTO ANDRE (PRINCIPE DE GALES),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar no terminal sacramento saindo de santo andre?
493DV1,SANTO ANDRE (PRINCIPE DE GALES),SAO PAULO (TERMINAL SACOMA),"oi, como eu faco pra chegar em sao paulo saindo de santo andre?"
494,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SAO PAULO (TERMINAL SACOMA),"oi, como eu faco pra sair do terminal rodoaviario nicolau delinio e chegar em sao paulo?"
496,SAO PAULO (JARDIM JOAO XXIII),BARUERI (ALPHAVILLE/GREEN VALLEY),como eu faco pra chegar do jardim joao xxiii em barueri?
496VP1,SAO PAULO (RODOVIA RAPOSO TAVARES - KM 17.8),BARUERI (ALPHAVILLE/GREEN VALLEY),"como eu faco pra chegar em barueri saindo da rodovia raposo tavares, km 17.8?"
497,CARAPICUIBA (VILA DIRCE),SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA),"oi, como eu faco pra chegar em santana de paranaiba partindo de carapicuiba?"
498,CARAPICUIBA (JARDIM NOVO HORIZONTE),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),"oi, como eu faco pra chegar de carapicuiba em santana de paraibuna?"
499,GUARULHOS (TERMINAL METROPOLITANO CECAP),SAO PAULO (ESTACAO CPTM DOM BOSCO),como eu faco pra ir do terminal metropolitano cecap ate o estacao cptm bosco?
500,GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra chegar do terminal metropolitano vila galvao em sao paulo?
500DV1,GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra chegar em sao paulo saindo do metro vila galvao?"
501,ITAQUAQUECETUBA (PARQUE PIRATININGA),SAO PAULO (METRO ARMENIA),como eu faco pra chegar no sao paulo saindo do parque piratini?
503,COTIA (CAUCAIA DO ALTO),COTIA (PORTAO),"oi, como eu faco pra sair de cotia e chegar em portao?"
506,COTIA (JARDIM SANDRA),SAO PAULO (CARREFOUR),como eu faco pra chegar de cotia (jardim sandra) em sao paulo?
507,VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS),COTIA (PORTAO),"oi, como eu faco pra chegar no jardim sao marcos e depois em cotia?"
508,COTIA (JARDIM JAPAO),COTIA (PORTAO),como eu faco pra ir do jardim japao ate o portao?
509,VARGEM GRANDE PAULISTA (PARQUE DO AGRESTE),COTIA (TERMINAL METROPOLITANO COTIA),"oi, como eu faco pra chegar no parque do agreste saindo do parque do metropolitano cotia?"
510,EMBU DAS ARTES (JARDIM VAZAME),SAO PAULO (METRO VILA SONIA),como eu faco pra ir de embuas artes ate o metro vila sonia?
5104,IGARATA (TERMINAL RODOVIARIO DE IGARATA),JACAREI (TERMINAL RODOVIARIO DE JACAREI),como eu faco pra ir do terminal rodoviario de igarata ate o terminal rodoviario de jacarei?
5105,PARAIBUNA (TERMINAL RODOVIARIO DE PARAIBUNA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra chegar em sao jose dos campos partindo do terminal rodoviario de paraibuna?"
5106,JAMBEIRO (TERMINAL RODOVIARIO DE JAMBEIRO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra chegar no saao jose dos campenses saindo do terminal rodoviario de jambeiro?"
5107,MONTEIRO LOBATO (TERMINAL RODOVIARIO DE MONTEIRO LOBATO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, preciso saber como chegar do terminal rodoviario de monteiro lobato ate o terminal rodoviario de sao jose dos campos."
5109,SAO JOSE DOS CAMPOS (SAO FRANCISCO XAVIER),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"como eu faco pra chegar no terminal rodoviario frederico ozan, saindo de sao jose dos campos?"
511,EMBU DAS ARTES (JARDIM SANTO ANTONIO),SAO PAULO (METRO VILA SONIA),como eu faco pra ir de embu das artes em jardim santo antonio ate a vila sonia e depois a sao paulo?
5110,CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),como eu faco pra chegar do terminal rodoaviario de cacapava em saao jose dos campos?
5111,CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA),TAUBATE (TERMINAL RODOVIARIO URBANO JOAO FRANCISCO DOS SANTOS),"oi, como eu faco pra chegar no terminal rodoviario de taubate a partir do terminal rodoviario de cacapava?"
5112,JAMBEIRO (TERMINAL RODOVIARIO DE JAMBEIRO),CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA),como eu faco pra chegar la?
5113,SANTA BRANCA (TERMINAL RODOVIARIO DE SANTA BRANCA),JACAREI (TERMINAL RODOVIARIO DE JACAREI),"oi, como eu faco pra chegar do terminal rodoviario de santa brasilia em jacarei?"
5114,JACAREI (TERMINAL RODOVIARIO DE JACAREI),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra chegar de jacarei no saogones?"
5116,JACAREI (TERMINAL RODOVIARIO DE JACAREI),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra pegar um onibus saindo do jacarei e ir para sao jose dos campos?"
5117,SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA),"oi, como eu faco pra chegar em cacapa saindo do terminal rodoviario frederico ozanam?"
5118,JACAREI (PARQUE MEIA LUA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra ir do parque meia lua ate o terminal rodoviario frederico ozanam?"
512,ITAQUAQUECETUBA (PARQUE PIRATININGA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de itaquaquecetuba?"
513,ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),SAO PAULO (METRO CAPAO REDONDO),preciso saber como chegar no metro capao redondo saindo do jardim das oliveiras.
517,ITAPEVI (COHAB),OSASCO (VILA YARA),como eu faco pra ir de itapevi (cohab) ate a vila yara?
518,BARUERI (JARDIM DO LIBANO),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),como eu faco pra ir do jardim do lebanon para a residencial santana de parana?
520,GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
5201,PINDAMONHANGABA (ARARETAMA),TAUBATE (TAUBATE SHOPPING CENTER),como eu faco pra chegar no taubate shopping center a partir do pindamonhangaba (araretama)?
5202,TREMEMBE (TERMINAL RODOVIARIO DE TREMEMBE),CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA),"oi, como eu faco pra chegar no terminal rodoaviario de cacapa a partir do tremembe?"
5203,TAUBATE (TERMINAL RODOVIARIO VELHO DE TAUBATE),TREMEMBE (TERMINAL RODOVIARIO DE TREMEMBE),"oi, como eu faco pra chegar do terminal rodoviario velho de taubate ate o terminal rodoviario de tremembe?"
5204,NATIVIDADE DA SERRA (CENTRO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),como eu faco pra ir do centro da natividade da serra ate o terminal rodoviario novo de tauba?
5204BI1,REDENCAO DA SERRA (CENTRO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),como eu faco pra chegar do centro de redencao da serra em taubate?
5205,ROSEIRA (TERMINAL RODOVIARIO DE ROSEIRA),TAUBATE (TERMINAL RODOVIARIO E URBANO JOAO FRANCISCO DOS SANTOS),como eu faco pra chegar do roseira no taubate?
5206,PINDAMONHANGABA (CENTRO),TAUBATE (TERMINAL RODOVIARIO E URBANO JOAO FRANCISCO DOS SANTOS),"oi, como eu faco pra ir do pindamonhangaba para o terminal rodoviario e urbano joao francisco dos santos?"
5207,TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),como eu faco pra chegar do terminal rodoviario novo de tauba pra sao jose dos campos?
5207DV1,TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),como eu faco pra chegar em saao jose dos campos saindo do terminal rodoviario novo de tauba?
5208,SAO BENTO DO SAPUCAI (CENTRO),CAMPOS DO JORDAO (TERMINAL RODOVIARIO DE CAMPOS DO JORDAO),como eu faco pra ir de sao bento do sapucai (centro) ate campos do jodoro?
5209,PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),como eu faco pra chegar em saao jose saindo do pindamonhangaba?
5209DV1,PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),como eu faco pra chegar do terminal rodoviario de pindamonhangaba em saogoness?
521,GUARULHOS (JARDIM ANGELICA),SAO PAULO (METRO ARMENIA),como eu faco pra chegar no sao paulo saindo de guarulhos?
5210,CAMPOS DO JORDAO (TERMINAL RODOVIARIO DE CAMPOS DO JORDAO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra ir do terminal rodoviario de campos do jodoro pra sao jose dos campos?"
5211,PINDAMONHANGABA (CENTRO),TAUBATE (TERMINAL RODOVIARIO E URBANO JOAO FRANCISCO DOS SANTOS),"oi, preciso saber como chegar no terminal rodoaviario e urbano joao francisco dos santos, estou em pindamonhangaba (centro)."
5211PR1,PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),TAUBATE (TERMINAL RODOVIARIO E URBANO JOAO FRANCISCO DOS SANTOS),"oi, como eu faco pra chegar no terminal rodoviario de pindamonhangaba em taubate?"
5212,CAMPOS DO JORDAO (TERMINAL RODOVIARIO DE CAMPOS DO JORDAO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),como eu faco pra ir do terminal rodoviario de campos do jodoro pra taubate?
5213,SAO BENTO DO SAPUCAI (TERMINAL RODOVIARIO DE SAO BENTO DO SAPUCAI),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra ir de sao bento do sapucai ate sao jose dos campos?"
5214,LAGOINHA (CENTRO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),"oi, como eu faco pra ir do lagoa (centro) ate o terminal rodoviario novo de taubate?"
5214EX1,LAGOINHA (CENTRO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),como eu faco pra chegar no terminal rodoviario novo de lagoa a partir do centro?
5216,SAO LUIZ DO PARAITINGA (TERMINAL RODOVIARIO DE SAO LUIZ DO PARATITINGA),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),"oi, como eu faco pra ir do terminal rodoviario de sao luiz do paratinga ate o terminal rodoviario de taubate?"
5217,SAO LUIZ DO PARAITINGA (CATUCABA),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),"oi, como eu faco pra chegar em taubate saindo de sao luiz do paraitinga?"
5218,SAO BENTO DO SAPUCAI (CENTRO),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),"oi, como eu faco pra chegar em pindamonhangaba a partir de sao bento do sapucai?"
5219,CAMPOS DO JORDAO (TERMINAL RODOVIARIO DE CAMPOS DO JORDAO),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),como eu faco pra chegar no terminal rodoviario de pindamonhangaba saindo do terminal rodoviario de campos do jodoro?
522,GUARULHOS (JARDIM CUMBICA/PARQUE BRASILIA),SAO PAULO (METRO ARMENIA),como eu faco pra sair do jardim cumbica/parque brasil e chegar em sao paulo?
5220,TAUBATE (TERMINAL RODOVIARIO VELHO DE TAUBATE),TREMEMBE (TERMINAL RODOVIARIO DE TREMEMBE),"oi, como eu faco pra chegar no terminal rodoviario velho de taubate?"
5221,PINDAMONHANGABA (CENTRO),TAUBATE (TERMINAL RODOVIARIO VELHO DE TAUBATE),"oi, como eu faco pra chegar no terminal rodoviario velho de taubate partindo do centro?"
523,GUARULHOS (JARDIM CUMBICA/PARQUE BRASILIA),SAO PAULO (METRO ARMENIA),como eu faco pra chegar em sao paulo saindo de guarulhos?
524,BARUERI (TREVO DE ALPHAVILLE),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA),"oi, como eu faco pra chegar em sao paulo saindo de barueri (trevo de alphaverville)?"
525,GUARULHOS (JARDIM SANTA PAULA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
526,GUARAREMA (CHACARA GUANABARA),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),"oi, tudo bem? preciso saber como chego de guararema (chacara guanabara) ate mogi das cruzes (terminal rodoviario geraldo scavone)?"
528,CARAPICUIBA (CIDADE ARISTON),BARUERI (ALPHAVILLE),"oi, como eu faco pra chegar em barueri a partir de carapicuiba?"
529,ARUJA (MIRANTE),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra pegar um onibus saindo de aruja e chegando em sao paulo?"
530,ARUJA (PARQUE RODRIGO BARRETO),SAO PAULO (METRO ARMENIA),como eu faco pra ir do parque rodigo barreto pra sao paulo?
5301,APARECIDA (TERMINAL RODOVIARIO DE APARECIDA),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),como eu faco pra ir do terminal rodoviario de aparecida ate o terminal rodoviario de cruzeiro?
